X,Y,Press
202,110,1
202,110,1
201,116,1
201,130,1
201,151,1
201,162,1
200,186,1
198,219,1
197,231,1
195,252,1
195,271,1
195,290,1
193,311,1
192,330,1
191,344,1
190,351,1
190,353,1
190,354,1
190,355,1
190,356,1
190,356,1
190,356,1
190,356,1
190,356,1
190,356,1
190,350,1
190,338,1
189,321,1
187,305,1
187,297,1
186,276,1
186,256,1
186,236,1
188,218,1
193,201,1
199,190,1
204,180,1
208,175,1
215,169,1
221,165,1
226,163,1
228,162,1
229,162,1
229,162,1
230,162,1
231,163,1
235,177,1
241,192,1
244,207,1
245,214,1
245,231,1
243,234,1
238,240,1
231,245,1
223,250,1
216,253,1
215,254,1
215,254,1
215,254,1
215,254,1
215,254,1
215,254,1
215,253,1
221,252,1
231,252,1
248,252,1
264,257,1
277,264,1
288,273,1
291,276,1
297,290,1
299,299,1
299,302,1
299,310,1
299,318,1
299,327,1
297,329,1
294,333,1
286,337,1
275,340,1
263,342,1
252,342,1
237,342,1
228,340,1
221,337,1
220,337,1
220,337,1
220,337,1
220,337,1
220,337,1
220,337,1
220,337,1
220,337,1
220,337,1
220,337,1
221,337,1
225,338,1
243,341,1
268,345,1
298,348,1
325,348,1
353,348,1
372,348,1
379,348,1
380,348,1
380,348,1
380,348,1
380,348,1
380,348,1
380,348,1
380,348,1
380,348,1
380,348,1
380,348,1
381,346,1
380,335,1
378,328,1
377,308,1
377,282,1
378,253,1
383,225,1
389,201,1
393,181,1
395,169,1
395,167,1
395,166,1
395,166,1
395,166,1
395,166,1
395,167,1
395,171,1
393,199,1
391,211,1
385,237,1
381,275,1
378,294,1
377,300,1
374,315,1
374,317,1
374,318,1
373,318,1
373,318,1
373,317,1
373,312,1
373,304,1
373,291,1
371,272,1
371,253,1
372,233,1
376,213,1
379,203,1
391,180,1
400,172,1
405,168,1
406,168,1
406,168,1
410,170,1
413,172,1
420,181,1
428,197,1
434,216,1
437,239,1
437,259,1
432,275,1
427,285,1
422,291,1
419,293,1
419,294,1
419,294,1
419,294,1
419,294,1
419,294,1
419,294,1
419,293,1
420,293,1
435,288,1
444,287,1
467,287,1
499,290,1
504,293,1
509,297,1
510,302,1
510,310,1
507,319,1
499,328,1
487,336,1
470,342,1
447,344,1
426,344,1
402,341,1
383,338,1
376,336,1
367,330,1
366,330,1
366,330,1
366,330,1
366,330,1
366,330,1
366,330,1
366,330,1
366,330,1
