X,Y,Press
494,109,1
494,109,1
494,109,1
489,128,1
485,139,1
475,172,1
461,214,1
443,257,1
428,294,1
413,329,1
402,360,1
394,384,1
389,400,1
387,408,1
386,409,1
386,409,1
386,409,1
386,409,1
387,405,1
390,395,1
396,378,1
405,356,1
415,333,1
420,321,1
436,282,1
446,257,1
452,246,1
463,225,1
473,209,1
482,191,1
485,187,1
488,178,1
488,173,1
490,167,1
490,166,1
490,166,1
490,166,1
490,166,1
490,166,1
490,166,1
490,166,1
490,164,1
492,156,1
493,148,1
493,138,1
493,136,1
493,135,1
493,135,1
493,135,1
493,135,1
493,135,1
493,135,1
493,139,1
496,150,1
502,170,1
511,201,1
529,244,1
549,290,1
563,324,1
573,351,1
582,372,1
585,378,1
592,392,1
594,394,1
594,394,1
594,394,1
594,394,1
594,394,1
594,394,1
594,394,1
594,394,1
586,385,1
564,371,1
514,345,1
445,318,1
378,301,1
330,292,1
310,288,1
303,285,1
303,285,1
303,285,1
303,285,1
303,285,1
303,285,1
303,285,1
307,283,1
325,278,1
341,274,1
439,266,1
474,266,1
553,266,1
607,266,1
633,266,1
639,266,1
640,266,1
640,266,1
640,266,1
640,266,1
640,266,1
636,266,1
625,268,1
609,276,1
588,289,1
554,304,1
519,319,1
487,332,1
462,343,1
449,351,1
446,353,1
438,357,1
436,358,1
427,364,1
423,367,1
419,370,1
415,372,1
412,373,1
410,374,1
