X,Y,Press
182,162,1
182,167,1
181,180,1
180,197,1
180,217,1
180,237,1
180,257,1
180,274,1
180,289,1
180,301,1
180,306,1
180,313,1
180,314,1
180,315,1
180,315,1
180,315,1
179,313,1
179,307,1
179,300,1
177,281,0
174,253,0
173,245,0
171,228,0
168,214,0
168,205,0
168,197,0
168,191,0
169,188,0
170,184,0
171,182,0
171,178,0
171,174,0
171,169,0
171,168,0
171,168,0
171,168,0
171,168,0
171,167,0
172,166,0
174,164,0
176,163,0
176,163,0
176,163,0
176,163,1
178,162,1
183,161,1
194,160,1
208,159,1
225,159,1
238,158,1
241,158,1
242,158,1
242,158,1
242,157,1
242,157,1
242,157,0
242,157,0
242,157,0
242,158,0
243,160,0
253,172,0
256,176,0
258,185,0
260,195,0
262,206,0
264,216,0
264,221,0
265,223,0
265,223,0
265,223,0
265,223,0
265,223,0
266,223,0
266,223,0
266,223,0
266,223,0
266,223,0
266,223,0
266,223,0
266,223,1
266,223,1
262,224,1
257,228,1
257,231,1
254,238,1
253,246,1
252,254,1
252,265,1
252,274,1
252,281,1
253,286,1
255,290,1
255,290,1
256,291,1
258,291,1
264,291,1
268,291,1
277,290,1
282,290,1
282,290,1
284,289,1
287,286,1
288,283,1
288,280,1
289,273,1
289,268,1
289,262,1
289,257,1
289,252,1
285,245,1
280,240,1
278,238,1
278,238,1
278,237,1
275,236,1
273,235,1
272,233,1
270,232,1
270,232,1
268,232,1
268,232,1
268,232,1
268,232,1
267,232,1
265,232,1
262,232,0
259,231,0
258,231,0
258,230,0
258,230,0
258,230,0
263,228,0
275,226,0
290,224,0
303,222,0
312,221,0
313,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,0
314,220,1
316,221,1
318,226,1
321,234,1
324,245,1
326,257,1
328,268,1
330,278,1
332,285,1
332,290,1
332,293,1
332,295,1
332,295,1
332,295,1
332,295,1
332,295,1
332,295,1
332,287,1
331,281,1
330,274,1
329,268,1
329,263,1
329,258,1
331,255,1
333,253,1
337,251,1
338,251,1
341,251,1
342,251,1
343,251,1
343,251,1
345,251,1
346,253,1
349,259,1
350,262,1
355,273,1
355,276,1
355,276,1
355,276,1
355,278,1
355,279,1
353,281,1
351,282,1
348,283,1
347,284,1
345,285,1
345,285,1
344,285,1
341,285,1
337,285,1
335,285,1
335,285,1
335,285,1
335,285,1
335,285,1
335,285,1
333,281,0
331,276,0
329,274,0
325,268,0
321,262,0
318,254,0
315,244,0
312,234,0
311,227,0
311,224,0
311,222,0
310,221,0
310,221,0
310,221,0
310,220,0
310,220,0
310,220,0
310,220,0
310,220,0
310,220,0
310,220,0
310,220,1
310,220,1
310,220,1
310,220,1
314,220,1
318,220,1
334,220,1
339,220,1
350,220,1
354,220,1
356,220,1
356,220,1
356,220,1
356,220,0
356,220,0
356,220,0
356,220,0
356,220,0
357,220,0
370,220,0
378,220,0
398,220,0
417,220,0
419,220,0
420,220,0
420,220,0
421,220,0
421,218,0
419,216,0
417,215,0
416,214,0
416,214,0
416,214,0
415,214,0
413,214,0
412,215,0
410,216,1
408,218,1
406,221,1
405,225,1
404,230,1
403,234,1
397,250,1
395,257,1
391,275,1
388,285,1
387,288,1
386,291,1
386,291,1
386,291,1
386,291,1
386,291,1
386,290,1
386,282,1
387,270,1
390,259,1
394,250,1
398,238,1
403,229,1
408,221,1
411,215,1
412,214,1
412,214,1
412,214,1
412,214,1
413,214,1
413,214,1
415,221,1
422,237,1
428,253,1
434,269,1
439,283,1
442,290,1
443,293,1
443,293,1
443,293,1
443,293,1
443,293,1
443,293,1
444,293,1
446,293,0
449,289,0
453,287,0
465,277,0
468,272,0
477,257,0
480,252,0
483,244,0
483,240,0
482,235,0
480,230,0
478,228,0
477,227,0
477,227,0
476,226,0
474,225,0
473,225,0
472,224,0
471,224,0
471,224,0
471,224,0
471,224,0
471,224,0
471,224,0
471,224,1
471,224,1
471,224,1
471,226,1
472,239,1
473,261,1
474,276,1
474,282,1
476,294,1
476,296,1
476,296,1
476,296,1
476,296,1
476,296,1
476,296,1
477,296,1
477,295,1
481,288,1
486,282,1
491,272,1
494,263,1
500,254,1
505,246,1
507,243,1
510,238,1
510,238,1
510,238,1
510,237,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
511,236,1
512,242,1
514,254,1
517,268,1
520,280,1
520,285,1
523,294,1
523,294,1
523,296,1
523,296,1
523,296,1
523,296,1
523,296,1
523,296,1
523,296,1
523,297,1
525,296,0
528,294,0
531,289,0
534,284,0
539,276,0
544,268,0
548,260,0
551,253,0
552,249,0
553,246,0
553,245,0
553,243,0
553,243,0
553,243,0
551,240,0
551,239,0
551,239,0
551,239,0
551,239,0
551,239,0
551,239,0
551,239,0
551,239,0
551,239,0
551,239,1
551,239,1
551,239,1
551,245,1
551,259,1
555,276,1
557,291,1
560,302,1
561,308,1
561,312,1
561,313,1
561,313,1
561,313,1
561,313,1
561,313,1
561,313,1
561,313,1
561,312,1
561,309,0
561,305,0
561,301,0
561,296,0
560,292,0
559,289,0
559,287,0
558,287,0
558,287,0
558,287,0
558,287,0
558,287,0
558,287,0
558,287,0
558,287,1
558,287,1
558,287,1
560,286,1
566,282,1
568,281,1
574,279,1
575,278,1
576,278,1
576,278,1
576,278,1
577,278,1
577,278,0
577,276,0
578,273,0
579,271,0
580,269,0
580,265,0
582,262,0
582,259,0
583,256,0
583,256,0
583,254,0
583,253,0
582,251,0
581,249,0
580,248,0
580,247,0
580,247,0
580,247,0
580,247,0
580,247,0
580,247,0
578,249,1
577,253,1
577,262,1
577,274,1
577,289,1
578,296,1
581,309,1
581,311,1
581,312,1
581,312,1
581,312,1
581,312,1
581,312,1
582,312,1
