X,Y,Press
192,180,1
191,179,1
190,182,1
188,196,1
185,219,1
180,247,1
176,273,1
176,284,1
174,309,1
172,316,1
171,317,1
171,317,1
171,317,1
171,317,1
171,317,1
171,311,1
171,298,1
172,280,1
175,261,1
178,243,1
182,235,1
182,234,1
182,234,1
183,234,1
185,237,1
187,240,1
191,242,1
193,242,1
201,238,1
207,234,1
225,216,1
231,206,1
232,203,1
233,202,1
233,202,1
233,202,1
233,202,1
233,202,1
230,206,1
225,218,1
220,235,1
217,254,1
214,273,1
215,292,1
221,306,1
225,313,1
228,314,1
234,313,1
237,310,1
258,298,1
264,294,1
273,289,1
277,286,1
277,286,1
277,286,1
277,286,1
278,286,1
278,282,1
275,272,1
268,262,1
260,255,1
254,251,1
251,251,1
246,256,1
239,268,1
232,284,1
230,300,1
233,314,1
237,322,1
242,324,1
249,324,1
258,319,1
266,311,1
270,300,1
271,296,1
274,289,1
274,287,1
274,287,1
274,287,1
274,287,1
274,287,1
274,287,1
274,288,1
274,295,1
275,306,1
277,315,1
283,323,1
287,325,1
292,326,1
301,323,1
311,315,1
320,305,1
323,299,1
326,287,1
326,283,1
326,282,1
326,282,1
326,282,1
326,282,1
324,291,1
322,295,1
319,309,1
318,323,1
317,335,1
317,340,1
317,341,1
317,341,1
318,335,1
321,322,1
328,307,1
335,296,1
341,293,1
343,292,1
352,293,1
356,295,1
368,297,1
372,297,1
380,296,1
381,296,1
382,294,1
382,290,1
381,286,1
381,286,1
381,286,1
378,289,1
374,295,1
369,306,1
365,319,1
362,330,1
362,338,1
362,343,1
361,344,1
361,344,1
361,342,1
362,335,1
365,322,1
370,311,1
374,305,1
392,293,1
398,290,1
407,287,1
409,286,1
410,286,1
410,288,1
412,295,1
415,304,1
419,312,1
423,317,1
425,317,1
429,317,1
434,315,1
442,309,1
450,305,1
453,302,1
454,302,1
454,302,1
454,302,1
454,304,1
454,306,1
454,315,1
454,319,1
454,319,1
454,319,1
458,318,1
464,313,1
472,306,1
476,301,1
477,298,1
477,298,1
477,298,1
477,298,1
477,298,1
477,298,1
477,299,1
477,302,1
476,307,1
476,309,1
476,317,1
475,323,1
475,325,1
475,330,1
477,335,1
477,335,1
478,336,1
478,336,1
481,336,1
484,334,1
486,330,1
487,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
488,328,1
485,334,1
481,344,1
475,354,1
465,374,1
455,396,1
447,417,1
440,429,1
437,433,1
433,433,1
422,423,1
408,409,1
400,400,1
396,397,1
395,396,1
395,396,1
395,396,1
