X,Y,Press
164,163,1
152,174,1
148,181,1
139,198,1
130,221,1
127,246,1
127,264,1
127,282,1
129,292,1
129,294,1
130,296,1
130,296,1
130,297,1
128,297,1
121,296,1
113,293,1
100,287,1
86,281,1
77,277,1
76,276,1
75,276,1
75,276,1
81,275,0
87,274,0
113,269,0
121,265,0
146,252,0
152,247,0
160,239,0
165,232,0
171,224,0
174,218,0
176,211,0
176,206,0
176,199,0
176,194,0
176,191,0
176,189,0
174,186,0
174,185,0
171,183,0
171,183,0
171,183,0
171,183,0
171,183,0
171,183,0
170,181,0
169,179,0
169,178,0
168,176,0
168,176,0
168,175,0
167,173,0
167,173,0
167,173,0
167,173,0
167,173,0
167,173,0
165,172,0
162,171,0
158,170,0
158,170,0
158,170,0
158,170,0
158,170,0
158,170,1
158,170,1
157,170,1
157,171,1
157,174,1
157,184,1
156,211,1
156,217,1
156,237,1
156,255,1
156,269,1
156,280,1
156,284,1
156,286,1
156,286,1
162,286,1
171,285,1
182,281,1
186,278,1
194,271,1
197,267,1
198,264,1
198,264,1
198,264,1
198,264,1
198,264,1
198,264,1
198,266,1
198,272,1
198,278,1
199,284,1
200,285,1
201,285,1
203,285,1
209,283,1
213,280,1
217,277,1
218,271,1
218,265,1
213,257,1
208,252,1
207,251,1
205,249,1
205,249,1
204,249,1
203,250,1
198,253,1
195,259,1
192,264,1
191,268,1
191,272,1
191,276,1
194,279,1
197,281,1
206,281,1
217,281,1
228,281,1
236,278,1
240,274,1
243,270,1
244,268,1
248,264,1
248,264,1
248,264,1
248,264,1
248,264,1
248,264,1
247,264,1
247,268,1
247,273,1
247,281,1
248,283,1
249,284,1
250,284,1
255,284,1
264,282,1
277,279,1
288,275,1
293,272,1
294,269,1
294,266,1
291,264,1
287,261,1
282,260,1
279,260,1
275,260,1
271,262,1
267,266,1
262,269,1
259,272,1
258,275,1
258,277,1
258,277,1
258,277,1
258,277,1
259,277,1
264,277,1
272,274,1
280,272,1
285,270,1
286,269,1
286,269,1
287,269,1
288,269,1
288,272,1
288,277,1
293,297,1
294,304,1
296,321,1
296,325,1
296,332,1
296,336,1
296,337,1
296,337,1
296,337,1
296,337,1
292,334,1
282,327,1
275,317,1
271,311,1
273,306,1
281,301,1
294,295,1
301,292,1
317,284,1
324,281,1
324,280,1
324,280,1
324,280,1
324,280,1
325,280,1
325,280,1
328,284,1
329,286,1
332,287,1
334,288,1
338,288,1
340,287,1
344,285,1
349,281,1
352,277,1
354,274,1
354,274,1
353,270,1
349,268,1
341,266,1
336,264,1
335,264,1
335,264,1
334,264,1
332,265,1
331,270,1
331,273,1
331,276,1
331,278,1
331,278,1
331,279,1
333,279,1
342,279,1
359,279,1
378,279,1
390,279,1
396,278,1
398,276,1
400,273,1
403,269,1
404,267,1
405,266,1
405,265,1
405,265,1
405,265,1
405,266,1
402,277,1
402,281,1
402,289,1
401,295,1
400,296,1
400,296,1
400,296,1
400,296,1
400,296,1
400,291,1
404,287,1
407,283,1
411,281,1
416,278,1
420,275,1
424,273,1
427,271,1
427,271,1
427,271,1
427,271,1
427,271,1
427,271,1
427,271,1
425,272,1
424,275,1
424,280,1
424,287,1
425,292,1
425,292,1
425,292,1
425,292,1
430,292,1
439,288,1
450,282,1
457,279,1
459,278,1
459,278,1
459,278,1
459,278,1
459,279,1
457,288,1
457,291,1
459,300,1
459,302,1
460,304,1
461,304,1
466,303,1
470,301,1
475,298,1
478,294,1
478,290,1
478,283,1
477,278,1
476,276,1
476,276,1
475,276,1
474,276,1
472,276,1
470,276,1
470,276,1
470,276,1
470,276,1
474,275,1
477,273,1
488,268,1
505,257,1
511,253,1
518,246,1
521,238,1
523,235,1
523,233,1
523,233,1
523,233,1
523,233,1
523,232,1
522,232,1
519,234,1
514,239,1
508,247,1
502,260,1
498,273,1
497,281,1
497,288,1
497,291,1
497,291,1
497,292,1
497,293,1
497,293,1
497,293,1
499,293,1
504,291,1
509,288,1
513,286,1
513,283,1
513,281,1
513,279,1
513,279,1
513,278,1
513,278,1
513,278,1
513,278,1
513,278,1
513,278,1
513,278,1
518,278,1
543,278,1
566,278,1
583,275,1
588,274,1
592,273,1
592,273,1
592,273,1
592,273,1
592,273,1
592,272,1
587,271,1
583,270,1
575,270,1
567,270,1
559,271,1
551,277,1
543,282,1
538,287,1
537,289,1
536,291,1
536,291,1
536,291,1
537,292,1
541,291,1
551,290,1
561,287,1
569,283,1
572,282,1
573,282,1
573,282,1
573,282,1
573,282,1
573,284,1
577,292,1
579,298,1
585,305,1
589,308,1
595,310,1
599,310,1
602,310,1
604,309,1
605,309,1
