X,Y,Press
258,139,1
256,152,1
250,173,1
241,210,1
233,235,1
213,299,1
206,316,1
196,347,1
191,366,1
190,375,1
190,375,1
190,376,1
190,376,1
190,364,1
193,347,1
198,333,1
205,302,1
212,263,1
216,228,1
221,199,1
229,176,1
238,159,1
244,147,1
248,139,1
250,136,1
250,136,1
251,136,1
252,137,1
255,141,1
261,153,1
263,173,1
264,197,1
264,223,1
266,251,1
266,275,1
267,295,1
269,309,1
272,315,1
272,316,1
276,315,1
288,307,1
305,293,1
325,276,1
342,256,1
348,246,1
355,227,1
355,226,1
355,226,1
354,227,1
352,235,1
347,255,1
344,279,1
344,301,1
351,318,1
353,319,1
357,318,1
367,309,1
378,292,1
389,271,1
398,253,1
401,242,1
402,241,1
402,240,1
402,240,1
402,247,1
399,261,1
395,281,1
394,292,1
390,327,1
387,350,1
387,358,1
384,375,1
384,395,1
384,398,1
384,400,1
384,401,1
383,398,1
378,388,1
370,373,1
365,359,1
361,348,1
361,338,1
366,330,1
380,320,1
399,312,1
423,302,1
446,293,1
463,283,1
472,279,1
474,277,1
475,276,1
475,276,1
475,276,1
475,276,1
475,276,1
475,276,1
475,276,1
473,281,1
467,298,1
459,320,1
456,341,1
455,351,1
455,354,1
455,354,1
455,348,1
456,333,1
456,315,1
458,303,1
459,302,1
459,301,1
459,301,1
462,303,1
466,307,1
470,309,1
481,309,1
483,307,1
488,299,1
493,282,1
493,278,1
493,274,1
493,272,1
492,272,1
491,276,1
488,288,1
487,299,1
487,312,1
489,320,1
489,321,1
492,324,1
499,324,1
519,321,1
553,313,1
590,305,1
603,303,1
617,299,1
620,298,1
620,298,1
620,298,1
620,298,1
620,298,1
620,298,1
619,295,1
614,289,1
608,284,1
601,282,1
594,281,1
585,285,1
572,296,1
560,313,1
556,331,1
555,343,1
557,350,1
560,351,1
568,350,1
583,344,1
592,339,1
612,329,1
622,318,1
624,311,1
624,310,1
624,310,1
624,310,1
623,310,1
623,316,1
623,327,1
625,337,1
629,344,1
631,347,1
638,348,1
646,346,1
