X,Y,Press
391,248,1
391,248,1
392,247,1
393,246,1
394,246,1
401,243,1
406,239,1
413,234,1
423,228,1
427,225,1
439,219,1
450,214,1
458,208,1
465,203,1
472,198,1
479,193,1
486,187,1
491,183,1
496,179,1
499,177,1
501,175,1
504,171,1
505,168,1
507,163,1
509,159,1
509,156,1
511,154,1
511,151,1
512,151,1
512,149,1
512,149,1
512,149,1
512,149,1
512,149,1
512,149,1
512,151,1
511,154,1
507,164,1
504,178,1
502,192,1
499,209,1
496,228,1
492,248,1
487,271,1
483,290,1
479,305,1
477,317,1
477,318,1
477,320,1
477,320,1
477,320,1
477,320,1
477,320,1
476,323,1
475,326,1
475,328,1
475,330,1
475,330,1
475,330,1
475,330,1
475,330,1
474,330,1
472,330,0
469,330,0
463,330,0
455,332,0
447,334,0
439,334,0
434,334,0
424,334,0
421,334,0
412,334,0
410,334,0
404,334,0
403,334,0
403,334,0
403,334,0
403,334,0
403,334,0
403,334,0
403,334,1
409,334,1
421,334,1
437,334,1
453,334,1
467,334,1
474,334,1
478,334,1
482,334,1
486,333,1
489,333,1
508,333,1
518,333,1
535,333,1
541,334,1
541,334,1
541,334,1
541,334,1
541,334,1
541,334,1
541,334,0
541,332,0
541,325,0
541,314,0
541,306,0
543,294,0
547,281,0
550,266,0
553,251,0
559,236,0
564,223,0
566,218,0
570,207,0
572,204,0
574,199,0
576,197,0
577,194,0
579,192,0
579,192,0
579,192,0
579,190,0
579,186,0
579,181,0
579,175,0
579,167,0
578,160,0
576,155,0
576,154,0
576,153,0
576,153,0
575,151,1
573,147,1
569,142,1
560,135,1
556,132,1
544,124,1
527,115,1
517,112,1
513,110,1
508,109,1
506,109,1
505,109,1
498,111,1
482,117,1
459,126,1
433,136,1
409,146,1
393,153,1
381,160,1
372,169,1
363,180,1
354,192,1
344,207,1
337,218,1
331,229,1
326,239,1
323,250,1
321,255,1
320,277,1
320,285,1
320,301,1
322,316,1
326,330,1
329,340,1
337,352,1
345,363,1
356,373,1
368,383,1
383,392,1
400,398,1
418,402,1
437,405,1
454,409,1
468,409,1
481,409,1
487,408,1
500,403,1
505,401,1
517,396,1
524,392,1
528,388,1
531,385,1
538,376,1
544,364,1
551,352,1
555,341,1
560,328,1
565,315,1
568,302,1
571,289,1
573,276,1
576,263,1
578,252,1
580,242,1
580,235,1
581,227,1
582,222,1
585,210,1
585,203,1
586,200,1
587,191,1
587,189,1
586,179,1
586,177,1
586,173,1
585,169,1
584,166,1
584,163,1
582,159,1
581,156,1
580,155,1
580,155,1
580,155,1
580,155,1
580,155,1
578,152,1
576,150,1
576,149,1
576,149,1
576,149,1
576,149,1
576,149,1
