X,Y,Press
229,161,1
229,164,1
228,177,1
228,190,1
228,208,1
227,226,1
225,240,1
224,254,1
223,266,1
223,274,1
223,281,1
223,287,1
223,288,1
223,294,1
222,297,1
222,297,1
222,297,1
222,297,1
222,297,1
222,296,1
220,285,1
219,272,1
215,255,1
213,238,1
213,227,1
215,216,1
217,208,1
222,200,1
226,192,1
229,188,1
231,185,1
232,184,1
232,184,1
233,184,1
235,184,1
236,184,1
244,185,1
247,187,1
248,189,1
250,190,1
251,196,1
251,204,1
249,216,1
242,230,1
235,242,1
228,252,1
221,256,1
219,258,1
219,258,1
219,258,1
219,258,1
219,258,1
219,258,1
218,258,1
218,255,1
218,252,1
221,249,1
223,249,1
223,249,1
223,249,1
224,250,1
226,252,1
231,261,1
239,273,1
247,282,1
254,290,1
256,291,1
257,291,1
259,290,1
263,285,1
271,279,1
282,271,1
291,262,1
299,254,1
305,248,1
306,244,1
306,244,1
306,244,1
306,244,1
306,244,1
306,245,1
306,257,1
305,264,1
305,279,1
305,282,1
307,287,1
308,288,1
308,289,1
308,289,1
309,289,1
313,286,1
319,279,1
325,269,1
329,259,1
333,253,1
335,250,1
335,250,1
335,250,1
335,250,1
335,250,1
335,250,1
335,250,1
335,255,1
334,261,1
335,273,1
338,285,1
340,295,1
346,303,1
350,305,1
353,306,1
358,305,1
366,299,1
377,290,1
389,278,1
402,264,1
414,249,1
422,234,1
429,218,1
436,205,1
438,200,1
441,196,1
441,196,1
441,196,1
441,196,1
437,202,1
431,218,1
425,240,1
423,260,1
423,276,1
423,288,1
425,292,1
425,292,1
425,292,1
429,291,1
433,287,1
439,277,1
442,267,1
443,259,1
440,249,1
437,244,1
437,244,1
437,244,1
434,243,1
434,245,1
434,252,1
434,254,1
436,260,1
444,264,1
455,265,1
473,265,1
484,261,1
491,257,1
493,253,1
493,253,1
493,253,1
493,253,1
493,254,1
493,258,1
494,265,1
496,267,1
501,271,1
504,271,1
508,269,1
511,267,1
513,258,1
513,255,1
513,252,1
513,252,1
513,252,1
513,252,1
513,253,1
513,255,1
513,260,1
513,267,1
514,271,1
515,273,1
515,273,1
516,274,1
516,274,1
517,273,1
517,272,1
517,271,1
517,270,1
517,270,1
517,270,1
517,270,1
517,270,1
517,269,1
517,268,1
517,267,1
517,265,1
517,265,1
518,263,1
518,261,1
518,261,1
518,261,1
518,261,1
518,261,1
518,261,1
518,261,1
518,261,1
518,261,1
518,264,1
517,266,1
517,271,1
517,273,1
517,274,1
517,274,1
517,274,1
517,276,1
517,277,1
517,281,1
517,288,1
515,305,1
513,312,1
508,327,1
502,343,1
496,354,1
492,362,1
490,365,1
490,365,1
489,365,1
486,360,1
479,350,1
473,344,1
471,342,1
471,342,1
471,342,1
471,342,1
