X,Y,Press
395,167,1
395,167,1
395,165,1
395,161,1
395,155,1
395,149,1
398,141,1
402,138,1
408,134,1
415,131,1
422,131,1
429,132,1
433,134,1
436,136,1
442,147,1
445,157,1
445,166,1
445,172,1
443,184,1
437,196,1
429,211,1
426,215,1
423,217,1
422,218,1
422,218,1
422,218,1
422,218,1
422,218,1
422,218,1
422,216,1
426,213,1
438,210,1
457,209,1
481,209,1
504,214,1
518,219,1
524,225,1
528,233,1
529,241,1
529,245,1
526,266,1
519,278,1
515,283,1
501,291,1
485,295,1
467,296,1
447,295,1
430,289,1
421,282,1
415,278,1
414,278,1
414,278,1
414,278,1
414,277,1
414,276,0
414,276,0
413,273,0
413,273,0
410,268,0
408,265,0
403,260,0
398,251,0
391,242,0
385,233,0
381,226,0
377,220,0
373,216,0
368,213,0
365,211,0
365,211,0
365,211,0
365,211,0
365,211,0
364,211,0
364,211,0
364,211,0
364,211,0
364,211,0
364,211,0
364,211,0
364,211,1
364,211,1
364,211,1
364,214,1
364,219,1
364,221,1
364,223,1
364,223,1
365,223,1
366,222,1
367,221,1
368,219,1
368,218,1
368,217,1
368,217,1
368,215,1
368,215,1
368,215,1
368,215,1
367,215,1
365,215,1
364,215,1
363,216,1
363,217,1
363,218,1
363,218,1
363,219,1
364,219,1
364,217,1
366,215,1
367,213,1
367,213,1
