X,Y,Press
258,186,1
261,201,1
263,209,1
266,228,1
269,256,1
269,264,1
269,283,1
269,302,1
269,316,1
269,326,1
269,330,1
269,331,1
269,331,1
269,331,1
269,329,1
269,320,0
266,307,0
263,294,0
259,281,0
254,268,0
252,261,0
241,238,0
237,231,0
229,217,0
220,205,0
207,191,0
204,188,0
197,183,0
193,179,0
191,177,0
191,177,0
191,177,0
191,177,0
191,177,0
191,177,0
191,177,0
191,177,1
191,177,1
194,177,1
206,177,1
225,177,1
252,177,1
268,177,1
314,177,1
334,177,1
339,177,1
342,177,1
342,177,1
342,177,1
342,177,1
342,177,0
342,177,0
342,177,0
343,177,0
348,177,0
355,177,0
362,177,0
367,177,0
369,177,0
369,177,0
369,177,0
369,177,0
369,177,0
369,177,0
370,177,1
370,177,1
370,184,1
370,188,1
368,207,1
365,225,1
363,236,1
356,258,1
350,278,1
344,297,1
340,311,1
337,317,1
337,318,1
337,318,1
337,318,1
337,310,1
337,294,1
337,274,1
337,248,1
340,225,1
343,205,1
344,198,1
348,188,1
349,187,1
349,187,1
349,187,1
349,187,1
349,187,1
349,187,1
349,187,1
352,191,1
358,201,1
365,214,1
371,227,1
377,244,1
383,258,1
387,268,1
388,270,1
388,270,1
388,270,1
390,271,1
392,267,1
397,256,1
404,240,1
410,223,1
413,215,1
419,195,1
421,191,1
422,187,1
422,187,1
422,187,1
422,187,1
422,187,1
423,187,1
426,196,1
430,214,1
435,237,1
444,265,1
450,290,1
454,312,1
457,326,1
459,331,1
459,332,1
459,332,1
459,332,1
459,331,1
462,325,1
471,311,0
480,299,0
484,293,0
496,282,0
505,271,0
509,259,0
511,246,0
511,233,0
508,223,0
502,213,0
498,205,0
495,200,0
495,196,0
495,194,0
495,193,0
495,193,0
495,193,0
495,193,0
495,193,0
495,193,0
495,193,1
495,195,1
496,209,1
500,231,1
504,270,1
506,283,1
510,303,1
511,313,1
511,317,1
511,318,1
511,318,1
511,318,1
511,316,1
511,310,1
511,295,0
509,280,0
506,266,0
500,252,0
494,239,0
493,234,0
488,222,0
487,215,0
487,209,0
487,208,0
487,208,0
487,207,0
487,207,0
489,205,0
491,203,0
493,202,0
496,201,1
500,200,1
506,199,1
517,199,1
530,202,1
541,209,1
552,217,1
560,225,1
566,238,1
568,251,1
569,263,1
569,271,1
564,282,1
552,289,1
541,291,1
532,291,1
526,291,1
511,290,1
501,287,1
493,284,1
490,283,1
488,282,1
487,282,1
487,282,1
