X,Y,Press
369,322,1
363,322,1
342,318,1
301,301,1
248,275,1
203,246,1
181,225,1
173,206,1
176,187,1
193,167,1
209,158,1
305,129,1
383,122,1
413,122,1
463,127,1
471,134,1
473,140,1
473,157,1
468,182,1
450,216,1
420,263,1
388,302,1
365,327,1
357,339,1
357,341,1
358,342,1
375,342,1
411,339,1
474,337,1
539,337,1
578,336,1
588,336,1
590,335,1
590,335,0
589,334,0
588,333,0
587,333,0
587,333,0
587,333,0
586,333,0
586,334,0
583,340,0
576,346,0
563,353,0
545,362,0
519,369,0
487,373,0
473,374,0
449,377,0
437,380,0
435,381,0
435,381,0
442,381,0
465,381,0
514,378,0
585,366,0
660,350,0
723,328,0
762,310,0
775,297,0
777,288,0
776,281,0
774,279,0
771,278,0
760,279,0
732,293,0
708,301,0
685,305,0
669,303,0
665,301,1
655,291,1
647,277,1
642,266,1
641,256,1
643,242,1
654,229,1
663,222,1
714,204,1
735,200,1
770,198,1
789,201,1
797,208,1
800,225,1
800,252,1
789,281,1
765,312,1
726,341,1
683,367,1
643,384,1
628,390,1
605,402,1
603,405,1
602,409,1
602,409,1
616,413,1
645,413,1
711,412,1
751,412,1
872,405,1
899,399,1
917,397,1
929,394,1
930,393,1
930,393,0
926,394,0
919,396,0
912,400,0
906,407,0
903,416,0
903,428,0
903,447,0
903,469,0
903,482,0
900,510,0
896,534,0
892,556,0
888,573,0
884,583,0
882,587,0
882,589,0
882,589,0
882,589,0
881,588,0
877,584,0
871,579,0
865,575,0
859,571,0
855,569,0
855,569,0
855,569,0
855,569,0
855,569,0
855,569,1
855,569,1
