X,Y,Press
326,183,1
323,189,1
296,236,1
278,263,1
216,335,1
190,359,1
185,363,1
185,362,1
188,357,1
214,320,1
258,282,1
308,229,1
352,191,1
366,179,1
378,169,1
379,169,1
379,169,1
381,178,1
381,178,1
381,201,1
378,240,1
368,290,1
353,337,1
338,373,1
335,378,1
336,377,1
344,364,1
354,353,1
432,294,1
467,272,1
553,216,1
553,216,1
579,201,1
579,200,1
579,201,1
578,221,1
577,234,1
570,265,1
563,302,1
557,327,1
552,343,1
551,347,1
550,349,1
550,350,1
552,346,1
556,338,1
584,304,1
613,273,1
645,247,1
668,229,1
679,221,1
681,219,1
681,219,1
682,221,1
686,238,1
687,248,1
689,284,1
689,309,1
689,328,1
689,328,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,1
689,343,0
689,343,0
689,343,0
689,343,0
689,343,0
691,342,0
698,337,0
711,329,0
728,323,0
747,314,0
760,308,0
767,304,0
768,303,0
769,303,0
769,303,0
770,302,0
778,301,0
800,300,0
851,298,0
924,289,0
988,282,0
991,395,0
936,396,0
878,394,0
828,385,0
787,374,0
759,367,0
741,366,0
729,368,0
718,374,0
703,389,0
683,416,0
653,462,0
362,471,0
304,427,0
249,376,0
200,329,0
166,295,0
157,286,0
145,272,0
144,270,0
144,270,0
144,270,0
144,270,0
144,269,0
144,267,0
145,263,0
147,259,0
149,257,0
149,256,0
149,256,0
149,256,0
149,256,0
147,259,0
143,267,0
139,273,0
139,273,0
139,273,0
139,273,0
139,273,0
140,271,0
141,266,0
142,261,1
144,253,1
145,243,1
147,231,1
151,213,1
155,194,1
162,172,1
172,151,1
185,132,1
202,117,1
225,104,1
256,92,1
298,78,1
349,67,1
395,61,1
434,60,1
451,60,1
489,64,1
522,69,1
551,74,1
586,84,1
625,98,1
665,113,1
692,124,1
712,135,1
724,147,1
735,162,1
748,192,1
756,214,1
760,225,1
765,248,1
770,269,1
771,294,1
771,300,1
771,311,1
771,324,1
768,335,1
763,347,1
755,359,1
744,370,1
736,375,1
711,389,1
700,392,1
662,402,1
631,407,1
600,413,1
567,417,1
538,417,1
510,417,1
481,417,1
453,417,1
424,417,1
386,414,1
351,410,1
312,403,1
297,401,1
268,397,1
245,394,1
230,393,1
223,391,1
216,387,1
209,383,1
204,380,1
195,374,1
184,368,1
172,360,1
161,352,1
154,344,1
147,336,1
142,327,1
136,317,1
132,307,1
132,303,1
131,293,1
131,281,1
131,269,1
131,258,1
131,249,1
131,242,1
131,237,1
132,235,1
134,231,1
136,227,1
138,225,1
140,223,1
140,223,1
141,222,1
141,222,1
141,222,1
141,222,1
141,222,1
141,222,1
141,222,1
