X,Y,Press
346,163,1
347,168,1
349,174,1
351,190,1
352,206,1
352,222,1
352,234,1
352,245,1
352,255,1
352,266,1
352,272,1
352,277,1
352,280,1
352,281,1
352,281,1
352,281,1
352,281,1
352,281,1
352,281,0
353,281,0
354,278,0
355,273,0
357,265,0
362,252,0
366,239,0
370,227,0
374,219,0
376,213,0
379,208,0
381,203,0
381,201,0
381,201,0
382,199,0
384,197,0
386,192,0
394,188,0
403,183,0
411,180,0
413,179,0
414,178,0
414,178,0
414,177,0
414,177,0
414,177,0
414,177,0
415,176,0
415,176,0
415,176,0
416,180,1
420,191,1
423,204,1
424,212,1
424,218,1
424,224,1
424,233,1
425,245,1
427,264,1
429,281,1
429,296,1
429,307,1
429,311,1
429,312,1
429,312,1
429,312,1
429,312,1
429,312,1
429,312,1
429,312,1
429,312,0
429,312,0
429,311,0
429,310,0
422,307,0
412,304,0
395,302,0
372,302,0
346,301,0
322,299,0
306,296,0
298,294,0
294,292,0
291,291,0
290,290,0
290,290,0
290,290,0
288,290,0
288,290,0
287,291,0
287,291,0
287,291,0
286,291,0
286,291,0
286,291,0
286,291,0
285,291,0
285,291,1
285,294,1
289,299,1
295,309,1
301,319,1
310,329,1
322,338,1
332,345,1
338,348,1
350,354,1
365,360,1
381,364,1
399,366,1
415,366,1
427,364,1
434,362,1
440,361,1
445,358,1
453,355,1
468,341,1
476,336,1
478,334,1
480,332,1
481,331,1
482,329,1
483,327,1
484,324,1
484,323,1
484,322,1
484,322,1
485,322,1
485,322,0
486,322,0
488,322,0
488,323,0
488,330,0
487,344,0
482,359,0
475,372,0
467,384,0
460,396,0
456,404,0
455,410,0
454,414,0
454,416,0
454,418,0
454,418,0
454,418,0
454,418,0
454,418,0
456,417,0
462,417,0
470,417,0
477,416,0
478,415,0
478,415,0
480,415,0
481,414,0
483,413,0
485,412,0
486,412,0
486,412,0
486,412,0
487,411,0
488,410,1
489,409,1
491,407,1
493,405,1
497,401,1
503,391,1
509,380,1
516,363,1
525,342,1
529,331,1
538,306,1
546,282,1
551,256,1
556,234,1
559,212,1
559,177,1
558,162,1
554,152,1
546,136,1
539,128,1
531,122,1
524,119,1
515,114,1
505,112,1
485,109,1
460,106,1
437,105,1
412,105,1
400,105,1
365,105,1
355,105,1
336,105,1
318,108,1
303,109,1
286,111,1
269,115,1
250,120,1
233,126,1
219,132,1
207,138,1
197,143,1
191,147,1
186,152,1
183,160,1
177,168,1
175,178,1
173,188,1
173,200,1
175,213,1
180,226,1
183,234,1
196,258,1
207,274,1
214,282,1
226,294,1
236,307,1
245,317,1
257,332,1
272,347,1
288,361,1
302,372,1
309,379,1
315,384,1
322,391,1
328,394,1
334,399,1
340,404,1
347,409,1
354,413,1
361,415,1
369,418,1
376,421,1
385,421,1
391,421,1
397,421,1
399,421,1
403,421,1
407,421,1
408,421,1
411,420,1
414,419,1
417,419,1
423,417,1
429,416,1
436,414,1
439,414,1
445,413,1
454,411,1
461,408,1
467,407,1
472,407,1
477,407,1
481,407,1
485,407,1
490,405,1
490,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
491,405,1
